Sample,EquilibriumCount,StableEquilibriumCount,HasPhysicalBistability,LowerFoldSodium0,UpperFoldSodium0,UpperFoldSodium02,SodiumFoldChange,SodiumComparisonAvailable,SodiumDirectionPreserved,UnexpectedStability,OscillatoryInstability,UnexpectedFoldGeometry,alphaMultiplier,betaMultiplier,kaMultiplier,r0Multiplier,krMultiplier,KrMultiplier,prMultiplier,KsMultiplier,nsMultiplier,fminMultiplier,KfMultiplier,nfMultiplier,gzMultiplier,kzMultiplier,KzMultiplier,nzMultiplier
2498,3,2,1,-0.466867832370247,0.569251805848594,0.402139027617961,-0.167112778230633,1,1,0,0,0,0.956240631674034,0.95976542599959,1.10701556945807,0.800138884075648,0.964490568106283,1.16767093998318,0.85534120396396,1.09457921021245,1.18237410342571,0.954081412653748,1.06008360192534,0.841947477300575,0.808612168728155,0.889127936114733,1.08554365767377,1.09509732960864
2499,3,2,1,-1.41239132899273,0.208867113943068,0.117564454477073,-0.0913026594659956,1,1,0,0,0,1.08669981221697,1.08481735597962,0.887066786412941,1.07291836215413,0.95251134817085,0.987680640872143,0.98478931288742,0.803044470750653,1.17468540723291,0.949886831161015,1.08065201516657,1.13197517201685,1.11389514817592,1.01991473234206,1.00201960008935,0.954078427817392
2500,3,2,1,-0.626901270241408,0.508272775478925,0.304088611773128,-0.204184163705796,1,1,0,0,0,0.883049694618225,0.930211473894675,1.14682875707522,1.17208674472092,1.09079803407554,0.824529806655209,1.19812691921152,1.05937419564323,1.05356543950368,1.01904457721456,0.891519121752244,0.95714272450197,1.16383154813217,1.06148877140051,1.10113389730405,0.860496454142699
2501,3,2,1,-0.89707082351414,0.381065154530012,0.24734876463613,-0.133716389893882,1,1,0,0,0,0.984151757771578,0.855681743967264,0.992111699200881,0.949402315970466,1.15293881067268,0.880307941008444,0.915380519710123,0.930739795167267,1.08078318391041,1.19035234534534,1.09007702833974,1.17394055811285,1.01369177350778,1.08596480956826,0.999080510155929,1.1106715804735
2502,3,2,1,-0.735584908392979,0.324813423449457,0.189278604112616,-0.135534819336841,1,1,0,0,0,1.1493273518739,0.885259986701291,0.991348976054412,0.829320412035476,1.08037997297349,0.983556130074099,0.891026340354014,1.00948458354559,1.09537621584074,1.15346732960732,0.964080840311906,0.874182784089256,0.964441688294957,1.18380789770734,0.895065454358269,0.890625199223814
2503,3,2,1,-1.01636937380565,0.344003884777607,0.204442200709322,-0.139561684068285,1,1,0,0,0,0.958046894080272,0.943931978013172,0.87327008755182,1.02621580642568,0.961496714620692,0.98425599756842,0.913750448563662,1.03507533666262,1.05102313195666,1.09218951436434,0.965234262021268,1.06107825309403,1.0758171957766,1.03956380629615,1.06288381034803,1.0142461132603
2504,3,2,1,-1.84439105280469,0.134245664495486,0.0110683331383336,-0.123177331357153,1,1,0,0,0,1.00847565716026,1.09228267249323,0.841478506213333,1.14403168865203,0.985125895262247,0.997277259175336,0.850662378597042,0.800362448158639,0.858301962658551,1.16687120828242,0.853305382523507,1.09082776003215,1.14361496202526,0.857921495109964,0.932654506038779,0.864272459482075
2505,3,2,1,-0.817057195198451,0.401251476160429,0.238414548958059,-0.16283692720237,1,1,0,0,0,1.17440036340836,1.19593424442285,1.10816363354585,1.00031422483874,1.06810832018978,0.949674160784557,0.803590484323996,1.14556673061949,1.04344378545085,0.89709246797358,0.999896406937771,0.932247739125786,0.982583253968193,1.05113636563018,0.933402969588543,1.14789486775288
2506,3,2,1,-1.17751736826599,0.263920770621674,0.122846377197906,-0.141074393423768,1,1,0,0,0,1.03594981034787,1.03824388088848,0.97581177818512,0.94291620594645,0.805948713793666,0.921181523984237,0.914116418275444,0.94445823747784,1.15045676911812,0.83609917620436,0.835362474646766,0.917348608873211,1.08862449491882,1.05208330216638,0.922682797515662,0.885569275692579
2507,3,2,1,-1.07069992194602,0.399167788735117,0.252583908614296,-0.146583880120822,1,1,0,0,0,0.968326084696943,0.822560732483187,1.01839864614761,0.848620331528762,0.941077419275972,1.00754985785038,0.916691495918878,0.932578631108239,0.996004107212673,0.914009487832392,1.189414818914,1.0069794341462,1.10686546153018,0.952695287949202,1.03308907325681,0.995541514403995
2508,3,2,1,-0.89642325321161,0.429129367736595,0.260139533885445,-0.168989833851151,1,1,0,0,0,1.02666550895831,1.04728680726119,1.01936792707848,1.05902141527082,0.88354654989414,1.02342733992602,0.997663671642778,1.13549397214829,0.999989024985807,0.972327412788904,0.966552773974963,1.19446706323144,0.922340590327053,0.821294316584095,1.13253929864091,0.960246115064867
2509,3,2,1,-0.532220599434153,0.435059563167523,0.255348222691146,-0.179711340476377,1,1,0,0,0,1.08143091344697,1.07924970469947,1.07088501286754,1.02440339358256,0.965794280617155,0.960042759679096,1.16601517093852,1.13398705922461,0.891008976354052,0.986163505710705,1.07255524418522,1.1867249395031,0.841916413576384,0.976413895609176,0.997175968371678,1.01225774837454
2510,3,2,1,-0.663445373023231,0.339344853720432,0.18747094099501,-0.151873912725422,1,1,0,0,0,0.818905288879667,0.911258187179256,0.869538844115181,1.02218379028293,0.95856433297299,1.05420789169177,0.857313090558687,0.925098031145012,0.992139251428943,1.10242676359716,1.14078754819799,1.01747770100889,0.809322515169958,0.976362969672082,0.840718362695256,1.12802749098179
2511,3,2,1,-0.551783696280975,0.390691207618034,0.257829379907153,-0.132861827710881,1,1,0,0,0,1.0042051810243,0.902484426656018,1.11417443030191,0.879112936937342,1.15464078065509,0.807425621937329,0.969089092518694,0.848262981238374,1.07486388970988,1.02606443709662,0.972788137070937,1.09714766531515,0.809150082390908,0.986631923766661,1.16284918742525,1.01670359626164
2512,3,2,1,-0.41944850169982,0.491078844518116,0.331983295155907,-0.15909554936221,1,1,0,0,0,0.876795824012939,0.953713142554906,1.18332074697432,0.903093760992354,0.832531381964405,1.07584617270059,1.19007270542168,0.840616328747613,1.05931703503631,1.10796095517739,1.13956023827261,1.04789791853947,0.877797473882336,0.998037821328831,1.13370321461713,0.967667115890956
2513,3,2,1,-1.57586359649027,0.231301830684383,0.125817587169863,-0.10548424351452,1,1,0,0,0,1.15187365636243,1.16889587811992,0.801393346920797,0.892401375570863,1.05332207561286,1.03825248736584,1.13460604688962,0.924663457288601,0.878112901908559,0.990173359212068,1.07394522150745,1.06035120184052,1.04905484932462,0.849826038908116,1.05746621893589,1.0760846944785
2514,3,2,1,-1.03206501038328,0.34853958653328,0.122810933641645,-0.225728652891636,1,1,0,0,0,1.10597537041399,0.97106794428322,1.14421056583532,1.09616798432897,0.839598487068311,0.895514113146475,1.14662945777712,1.19042155597012,0.850185941595635,0.994419999111513,0.899677553399921,0.835983293447628,1.17163268315209,1.04458417449692,0.80468438477868,0.935978739052372
2515,3,2,1,-1.5336040350904,0.419903050565928,0.264935489199739,-0.154967561366188,1,1,0,0,0,0.883595546745683,1.1773068901637,1.04709414875066,0.969192483382084,0.823980275222034,1.1544950057418,0.947682078992314,0.927618563407056,1.0884500651697,0.876071503245604,1.00445084935547,1.10729892542765,1.19475524259169,0.803157712132194,1.181423759841,1.00748932844452
2516,3,2,1,-0.753350308350287,0.278952972151425,0.160440761607867,-0.118512210543558,1,1,0,0,0,1.14206153769991,1.07033160397275,1.05654873058539,0.809483917422186,0.926168030985403,0.849226229819535,1.13669399537682,0.84822055243116,1.04134470900871,1.01790481486045,0.928867598478089,1.11212901721579,0.864400524839422,1.05492618946479,1.0472404594312,0.910565424405713
